kepid,mass,mass_errp,mass_errm,radius,radius_errp,radius_errm,density,density_errp,density_errm,logg,logg_errp,logg_errm,age,age_errp,age_errm,ref
10937782,1.31,0.28,0.16,4.0,0.35,0.24,0.0205,0.0012,0.0014,3.35,0.009000000000000001,0.01,4.5,1.5,2.1,Chaplin et al. (2014)
10959362,1.28,0.17,0.25,2.22,0.13,0.19,0.1184,0.0084,0.0085,3.8510000000000004,0.023,0.018000000000000002,4.8,2.0,1.1,Chaplin et al. (2014)
10971974,1.01,0.14,0.13,1.17,0.06,0.06,0.6165,0.041,0.0388,4.297,0.025,0.025,7.4,4.3,3.7,Chaplin et al. (2014)
10972252,1.57,0.12,0.21,2.42,0.07,0.12,0.1109,0.0054,0.0044,3.864,0.013999999999999999,0.016,2.8,1.1,0.6,Chaplin et al. (2014)
10972873,1.14,0.15,0.11,1.85,0.09,0.07,0.1792,0.0061,0.0059,3.958,0.018000000000000002,0.013000000000000001,6.6,1.7,1.7,Chaplin et al. (2014)
10990438,1.43,0.3,0.15,3.93,0.32,0.19,0.0236,0.0012,0.0012,3.409,0.016,0.016,3.6,1.3,1.6,Chaplin et al. (2014)
11021413,1.08,0.11,0.1,2.06,0.08,0.08,0.1237,0.0041,0.0041,3.843,0.01,0.011000000000000001,7.3,2.1,1.5,Chaplin et al. (2014)
11027406,0.97,0.13,0.09,1.33,0.06,0.05,0.4122,0.0152,0.0147,4.178,0.016,0.015,8.8,3.1,3.1,Chaplin et al. (2014)
11070918,1.32,0.11,0.17,1.74,0.06,0.07,0.2475,0.0104,0.0096,4.071000000000001,0.02,0.023,3.6,1.5,0.9,Chaplin et al. (2014)
11074380,1.21,0.18,0.23,2.62,0.17,0.22,0.0672,0.0042,0.0039,3.679,0.019,0.019,5.5,5.6,1.5,Chaplin et al. (2014)
11075448,1.37,0.1,0.12,1.57,0.05,0.06,0.3488,0.0186,0.0172,4.177,0.018000000000000002,0.019,2.2,1.0,0.7,Chaplin et al. (2014)
11075456,1.32,0.13,0.22,1.47,0.05,0.07,0.4024,0.0248,0.0219,4.212,0.027999999999999997,0.035,2.2,2.8,1.2,Chaplin et al. (2014)
11082784,1.29,0.27,0.26,2.19,0.16,0.18,0.1228,0.0076,0.008,3.864,0.022000000000000002,0.018000000000000002,4.9,2.0,1.9,Chaplin et al. (2014)
11083308,1.36,0.14,0.12,2.12,0.09,0.08,0.1434,0.0067,0.0064,3.92,0.015,0.016,3.9,0.9,0.9,Chaplin et al. (2014)
11098033,1.35,0.22,0.16,2.25,0.12,0.1,0.1201,0.0085,0.0086,3.867,0.027000000000000003,0.027000000000000003,4.1,1.0,1.3,Chaplin et al. (2014)
